Year,MC,change
2025,2737.00,-18.42
2024,3355.00,174.33
2023,1223.00,235.82
2022,364.18,-50.47
2021,735.27,127.47
2020,323.24,124.47
2019,144.00,76.84
2018,81.43,-30.56
2017,117.26,103.82
2016,57.53,224.48
2015,17.73,62.81
2014,10.89,19.67
2013,9.10,18.80
2012,7.66,-9.46
2011,8.46,-5.37
2010,8.94,0
