Year,MC,change
2025,753.34,2.31
2024,736.34,73.49
2023,424.43,11.00
2022,382.37,-4.73
2021,401.35,-1.59
2020,407.84,20.96
2019,337.16,24.59
2018,270.62,-7.49
2017,292.53,37.72
2016,212.41,8.22
2015,196.27,-29.09
2014,276.80,8.71
2013,254.62,11.56
2012,228.24,11.53
2011,204.65,6.54
2010,192.09,0
