Year,MC,change
2025,1139.00,15.77
2024,983.86,26.55
2023,777.45,14.03
2022,681.77,1.89
2021,669.12,23.07
2020,543.67,-1.50
2019,551.96,9.87
2018,502.37,2.68
2017,489.24,21.81
2016,401.64,23.48
2015,325.28,-12.24
2014,370.66,26.76
2013,292.41,32.55
2012,220.61,16.60
2011,189.21,-4.59
2010,198.31,0
