Year,MC,change
2025,3036.00,-21.41
2024,3863.00,29.02
2023,2994.00,44.92
2022,2066.00,-28.78
2021,2901.00,28.65
2020,2255.00,75.21
2019,1287.00,72.50
2018,746.07,-13.34
2017,860.88,41.37
2016,608.96,4.34
2015,583.61,-9.25
2014,643.12,28.43
2013,500.74,0.21
2012,499.69,32.36
2011,377.51,27.07
2010,297.09,0
