Year,MC,change
2025,1905.00,-19.01
2024,2352.00,49.81
2023,1570.00,83.21
2022,856.94,-49.32
2021,1691.00,3.49
2020,1634.00,77.57
2019,920.22,24.78
2018,737.46,30.86
2017,563.53,58.16
2016,356.31,11.93
2015,318.34,120.59
2014,144.31,-21.16
2013,183.04,60.72
2012,113.89,44.70
2011,78.71,-3.04
2010,81.18,0
