Year,MC,change
2025,2867.00,-10.41
2024,3200.00,14.53
2023,2794.00,56.35
2022,1787.00,-29.14
2021,2522.00,50.03
2020,1681.00,40.08
2019,1200.00,53.78
2018,780.36,18.25
2017,659.90,36.58
2016,483.16,9.89
2015,439.67,15.18
2014,381.72,22.94
2013,310.50,38.83
2012,223.66,2.42
2011,218.38,-6.88
2010,234.52,0
