Year,MC,change
2025,699.44,13.35
2024,617.07,15.33
2023,535.06,21.62
2022,439.95,-6.28
2021,469.42,-2.64
2020,482.17,15.69
2019,416.79,39.23
2018,299.35,12.48
2017,266.14,42.46
2016,186.81,0.39
2015,186.08,15.51
2014,161.09,14.76
2013,140.37,40.66
2012,99.79,47.28
2011,67.76,40.06
2010,48.37,-20.57
