Year,MC,change
2025,841.41,-25.74
2024,1133.00,145.76
2023,461.01,97.31
2022,233.65,-14.95
2021,274.73,54.28
2020,178.07,41.65
2019,125.71,21.39
2018,103.56,-1.52
2017,105.16,49.12
2016,70.52,75.73
2015,40.13,56.27
2014,25.68,95.14
2013,13.16,69.37
2012,7.77,10.21
2011,7.05,2.77
2010,6.86,0
