Year,MC,change
2025,1918.00,-18.90
2024,2365.00,34.68
2023,1756.00,53.36
2022,1145.00,-40.27
2021,1917.00,61.77
2020,1185.00,28.65
2019,921.13,27.31
2018,723.55,-0.81
2017,729.45,35.32
2016,539.06,2.06
2015,528.16,46.92
2014,359.50,-4.08
2013,374.79,61.85
2012,231.57,10.58
2011,209.41,10.14
2010,190.13,0
