Year,MC,change
2025,2492.60,-17.65
2024,3027.00,46.42
2023,2067.40,66.21
2022,1243.82,-36.32
2021,1953.25,37.98
2020,1415.65,58.27
2019,894.47,45.73
2018,613.77,4.70
2017,586.20,43.32
2016,409.00,8.34
2015,377.50,22.60
2014,307.91,11.71
2013,275.63,28.03
2012,215.29,20.62
2011,178.49,9.93
2010,162.37,0.00
