Year,MC,change
2025,647.89,-4.58
2024,678.97,38.07
2023,491.76,25.02
2022,393.34,-15.63
2021,466.19,20.36
2020,387.33,-9.90
2019,429.91,34.44
2018,319.78,-13.82
2017,371.05,20.17
2016,308.76,27.64
2015,241.89,4.05
2014,232.47,5.84
2013,219.65,31.33
2012,167.25,32.38
2011,126.34,-23.83
2010,165.87,0
