Year,MC,change
2025,812.31,-4.13
2024,847.30,56.44
2023,541.60,32.83
2022,407.75,-1.78
2021,415.12,23.67
2020,335.68,6.87
2019,314.12,19.10
2018,263.74,-2.39
2017,270.19,25.73
2016,214.90,19.83
2015,179.34,-8.71
2014,196.45,17.38
2013,167.36,22.98
2012,136.08,18.26
2011,115.07,-4.66
2010,120.70,0
